Ticker
JNJ
UNH
ABT
PFE
MRK
ABBV
TMO
MDT
LLY
AMGN
BMY
DHR
CVS
ANTM
CI
ISRG
GILD
SYK
ZTS
BDX
VRTX
BSX
HUM
ILMN
EW
HCA
REGN
BAX
BIIB
IDXX
A
CNC
ALGN
IQV
ALXN
ZBH
DXCM
MCK
RMD
MTD
LH
CERN
WST
TFX
HOLX
COO
CAH
CTLT
ABC
WAT
DGX
VTRS
STE
VAR
INCY
PKI
ABMD
XRAY
BIO
UHS
HSIC
DVA
PRGO
